Using textbook,,With Delay,
Count, Time,Count, Time
1,1289484,1,2000992
2,1417364,2,2501616
3,3278204,3,3002248
4,3379348,4,3502888
5,4874860,5,4003520
6,5516800,6,4504148
7,6128212,7,5404880
8,6321316,8,5805480
9,7426088,9,6306100
10,7601924,10,6706756
11,7602748,11,7107412
12,7603416,12,7508076
13,7604468,13,7908740
14,19534212,14,8209368
15,28023960,15,8610028
16,28730728,16,9010680
17,29226200,17,9411328
18,29898256,18,9711960
19,30465604,19,10112616
20,31008708,20,10413300
21,31770604,21,10814008
22,32730912,22,11214716
23,34649184,23,11515404
24,35894220,24,11816096
25,36709056,25,12116776
26,36908592,26,12517500
27,37673664,27,12818180
28,37859464,28,13118864
29,38572772,29,13519568
30,39299728,30,13920276
31,39477968,,
32,40195152,,
33,40662708,,
34,40818204,,
35,41083924,,
36,41486892,,
37,41880204,,
38,42334624,,
39,42739056,,
40,43120996,,
41,43275996,,
42,43276920,,
